Critério,Japanese Chin,Shih-Tzu,Chihuahua,Terra Nova,Pastor Alemão,Golden Retriever,Labrador Retriever,Cocker Spaniel Inglês,Pug,Spitz Alemão (Anão),Bulldog Inglês,Border Collie,Rottweiler,Boxer,Beagle,Dachshund,Maltês,São Bernardo,Doberman,Poodle (Médio ou Standard),Akita Inu,Staffordshire Bull Terrier,Collie,Cavalier King Charles Spaniel,Whippet,Pinscher Miniatura,Shar Pei,Buldogue Francês,Husky Siberiano,Weimaraner,Scottish Terrier,Dálmata,Fox Terrier (pelo liso),Galgo Inglês (Greyhound),Samoyeda,Pastor Belga de Malinois,Coton de Tulear,Basenji,Griffon de Bruxelas,Lhasa Apso,Affenpinscher,Kuvasz,Italian Greyhound,Chow Chow,Papillon,Pastor de Shetland,Bernese Mountain Dog,Dogue Alemão,Dogue de Bordeaux,Miniature Schnauzer,Cane Corso,Spitz Alemão
Porte,Pequeno,Pequeno,Pequeno,Grande,Grande,Grande,Grande,Médio,Pequeno,Pequeno,Médio,Médio,Grande,Grande,Médio,Pequeno,Pequeno,,Grande,,,,,,Médio,Pequeno,Médio,,Grande,Grande,,Grande,,,,,,,,Pequeno,,Grande,Pequeno,Grande,Pequeno,Médio,Grande,Grande,Grande,Pequeno,Grande,
Descrição,"Extremamente carinhoso, sensível e expressivo, é um companheiro encantador que se apega profundamente à sua família.",Cão de colo amigável e extrovertido com pelagem longa e sedosa. Canil: Vanitylake - https://www.instagram.com/vanitylake?igsh=dW96ZzJ1MmY5NDBq,"Muito pequeno, com personalidade forte, leal e alerta. Criador: Lopes e Machado - https://www.instagram.com/chihuahuas_lopesemachado?igsh=MWM0ZTd1NTJ4MnQycQ==","Gigante gentil, ótimo nadador e excelente com crianças. Canil: Prince of the dogs - https://www.instagram.com/canilkuvaszprince?igsh=MWxlN2hjNGNmZzZqNQ==","Inteligente, leal e altamente treinável.","Amigável, inteligente e muito dedicado à família.","Brincalhão, enérgico e excelente com famílias.","Afetuoso, alegre e com pelagem sedosa.","Encantador, carinhoso e às vezes travesso.",Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,Descrição não disponível.,"Protetor e independente, originalmente cão de guarda. Canil: Prince of the dogs - https://www.instagram.com/canilkuvaszprince?igsh=MWxlN2hjNGNmZzZqNQ==","Elegante e sensível, de temperamento gentil.","Leal e reservado, com aparência de leão.","Energético, inteligente e adora fazer truques.","Esperto e brincalhão, ótimo para famílias.","Gentil, forte e afetuoso.","Majestoso e dócil, uma das raças mais altas.","Poderoso, leal e de temperamento calmo.","Inteligente, animado e fácil de treinar.","Musculoso, protetor e muito leal.",
Nível de energia,2,2,3,3,5,4,5,3,2,3,2,5,4,4,4,3,2,3,5,4,3,4,4,2,4,4,2,3,5,5,3,4,4,4,4,5,3,4,3,2,3,4,4,3,4,4,3,3,2,4,4,
Necessidade de espaço,2,2,1,5,4,4,4,3,2,2,3,4,4,4,3,2,2,5,4,3,4,3,4,2,3,1,3,2,5,4,2,4,3,3,4,4,2,3,2,2,2,5,2,3,2,3,5,5,4,2,4,
Tolerância a crianças,4,4,2,5,4,5,5,4,4,3,4,4,4,5,5,3,4,5,4,5,3,4,5,5,4,3,3,4,4,4,3,4,4,4,5,4,5,3,4,4,3,4,4,3,4,5,5,4,4,4,4,
Sociabilidade com outros animais,4,4,2,4,3,5,5,4,3,3,3,5,3,4,4,3,4,4,3,5,2,3,5,4,4,3,2,4,3,3,3,4,4,4,4,3,4,3,4,3,3,3,4,2,4,4,4,3,3,4,3,
"Tempo de cuidados (pelagem, etc)",4,4,2,5,3,3,3,4,2,4,4,3,3,3,3,2,5,5,3,4,3,3,4,4,2,1,3,2,4,3,3,3,2,2,5,3,5,2,4,4,3,4,2,4,3,4,5,4,3,3,3,
Facilidade de adestramento,3,3,3,3,5,5,5,4,3,3,2,5,4,4,3,3,3,3,5,5,3,4,4,4,4,3,3,3,3,4,3,4,4,4,3,5,4,2,3,3,3,3,4,2,5,5,4,3,3,5,4,
Compatível com o objetivo da família,Companhia,Companhia,Companhia,Companhia / Esporte e Hobby,Guarda e Proteção / Esporte e Hobby,Companhia / Esporte e Hobby,Companhia / Esporte e Hobby,Companhia,Companhia,Companhia,Companhia,Esporte e Hobby,Guarda e Proteção,Companhia / Guarda e Proteção,Companhia / Esporte e Hobby,Companhia,Companhia,Companhia / Esporte e Hobby,Guarda e Proteção / Esporte e Hobby,Companhia / Esporte e Hobby,Guarda e Proteção / Companhia,Guarda e Proteção / Companhia,Companhia / Esporte e Hobby,Companhia,Companhia / Esporte e Hobby,Companhia,Guarda e Proteção / Companhia,Companhia,Esporte e Hobby,Guarda e Proteção / Esporte e Hobby,Companhia,Companhia / Esporte e Hobby,Companhia / Esporte e Hobby,Companhia / Esporte e Hobby,Companhia / Esporte e Hobby,Guarda e Proteção / Esporte e Hobby,Companhia,Companhia / Esporte e Hobby,Companhia,Companhia,Companhia,Guarda e Proteção,Companhia / Esporte e Hobby,Guarda e Proteção / Companhia,Companhia / Esporte e Hobby,Companhia / Esporte e Hobby,Companhia / Esporte e Hobby,Companhia / Guarda e Proteção,Guarda e Proteção / Companhia,Companhia / Esporte e Hobby,Guarda e Proteção / Companhia,
Compatibilidade com recursos financeiros,1,2,1,5,4,3,3,3,2,2,4,4,4,3,2,2,3,5,4,3,4,3,3,3,2,1,3,3,4,4,2,3,2,3,4,4,3,2,2,2,2,4,2,4,2,3,4,5,4,2,4,
